age,gender,height_m,weight_kg,seatbelt,ride_drunkdriver,drive_drunk,drive_text,carried_weapon,unsafe_school,bullied,sad,days_smoke,days_drink
15,male,1.65,61.24,most of the time,no,not drive,not drive,no,no,yes,yes,0,1
16,male,1.65,56.7,most of the time,no,not drive,not drive,no,no,no,no,0,0
16,male,1.73,67.13,always,no,0 times,0 days,yes,no,no,yes,0,4
15,male,1.7,63.5,most of the time,yes,0 times,0 days,no,no,no,no,0,3
15,male,1.73,61.24,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,66.68,sometimes,yes,not drive,not drive,yes,no,no,no,1,9
16,male,1.9,92.99,sometimes,yes,4 or 5 times,all 30 days,yes,no,no,yes,0,11
15,female,1.73,72.58,most of the time,yes,0 times,0 days,no,no,yes,yes,27,8
15,female,1.7,66.68,most of the time,no,0 times,0 days,no,no,no,no,0,0
16,female,1.57,60.78,always,no,not drive,not drive,no,no,no,no,0,0
16,female,1.68,50.8,rarely,no,not drive,not drive,no,no,no,no,0,1
15,female,1.73,67.13,always,no,not drive,not drive,no,no,no,no,0,0
15,female,1.6,51.71,always,yes,not drive,not drive,no,no,yes,yes,0,0
15,female,1.6,47.63,always,no,0 times,0 days,no,no,yes,yes,0,0
15,female,1.63,52.16,most of the time,no,0 times,0 days,no,no,no,no,0,0
16,female,1.63,70.31,most of the time,no,not drive,not drive,no,no,no,no,0,0
16,female,1.68,52.16,always,no,0 times,1 or 2 days,no,no,no,no,0,0
16,female,1.65,65.77,most of the time,no,0 times,3 to 5 days,no,no,no,no,0,0
16,female,1.65,70.31,always,no,0 times,0 days,no,no,no,no,0,0
16,female,1.65,69.4,most of the time,yes,0 times,0 days,no,no,no,no,0,0
16,female,1.6,59.88,always,yes,0 times,0 days,no,no,yes,yes,0,0
16,male,1.75,79.38,always,no,not drive,not drive,no,no,no,no,0,0
15,female,1.68,86.64,most of the time,no,0 times,0 days,no,no,yes,no,0,0
16,female,1.55,57.15,always,no,0 times,0 days,no,no,yes,yes,0,2
16,female,1.5,59.88,most of the time,yes,not drive,not drive,no,no,no,yes,2,5
17,female,1.6,63.05,always,no,0 times,0 days,no,no,no,no,0,0
16,female,1.6,50.8,most of the time,no,0 times,0 days,no,no,no,no,0,0
17,female,1.65,89.81,always,no,0 times,all 30 days,no,no,no,no,0,0
16,female,1.7,70.76,most of the time,no,0 times,0 days,no,no,no,no,22,6
17,female,1.68,58.97,always,no,not drive,not drive,no,no,no,yes,22,7
17,female,1.57,68.04,always,no,not drive,not drive,no,no,no,yes,0,0
17,male,1.7,53.98,always,no,0 times,0 days,yes,no,no,no,0,0
17,male,1.73,86.18,most of the time,no,not drive,not drive,no,no,no,no,30,3
17,male,1.83,81.65,always,no,not drive,not drive,no,no,yes,no,0,0
16,male,1.75,69.85,most of the time,yes,0 times,20 to 29 days,yes,no,no,no,2,9
17,male,1.8,79.38,most of the time,no,0 times,1 or 2 days,no,no,no,no,0,0
16,male,1.9,70.31,sometimes,yes,0 times,all 30 days,yes,no,no,no,1,1
17,male,1.83,79.38,sometimes,no,0 times,3 to 5 days,no,no,no,no,0,0
16,male,1.68,58.97,always,no,0 times,0 days,yes,no,no,yes,0,8
16,male,1.78,68.04,most of the time,no,not drive,not drive,no,no,no,no,0,0
16,female,1.55,46.72,always,yes,not drive,not drive,no,no,yes,yes,2,29
16,female,1.75,73.94,most of the time,no,0 times,20 to 29 days,no,no,yes,yes,0,2
15,female,1.8,68.04,always,no,not drive,not drive,yes,no,yes,yes,0,0
16,female,1.65,58.97,most of the time,no,0 times,1 or 2 days,no,no,no,no,0,0
16,female,1.57,63.05,always,no,0 times,0 days,no,no,no,no,0,2
16,female,1.63,45.81,always,yes,not drive,not drive,yes,no,no,yes,30,6
16,female,1.73,92.08,most of the time,no,not drive,not drive,no,no,yes,yes,26,0
16,female,1.68,62.6,always,no,0 times,0 days,no,no,no,no,0,0
15,female,1.52,46.27,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,female,1.7,50.35,always,no,not drive,not drive,no,no,no,no,0,0
17,female,1.63,44.45,always,no,0 times,0 days,no,no,no,no,0,0
17,female,1.7,58.97,always,no,0 times,3 to 5 days,no,no,no,no,0,0
17,female,1.55,50.8,always,yes,0 times,1 or 2 days,no,no,no,yes,30,12
17,male,1.7,92.99,most of the time,no,0 times,0 days,no,no,no,no,0,0
17,male,1.8,74.84,always,no,0 times,0 days,yes,no,no,yes,0,1
17,male,1.85,61.24,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.55,65.77,sometimes,no,0 times,0 days,no,no,no,no,0,0
15,male,1.75,61.69,always,no,not drive,not drive,yes,no,yes,no,0,0
15,male,1.83,59.88,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.78,49.9,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,63.96,sometimes,no,0 times,0 days,no,no,no,no,0,0
16,male,1.7,71.22,most of the time,yes,0 times,1 or 2 days,yes,no,no,no,0,0
15,male,1.8,68.04,always,no,not drive,not drive,no,no,no,no,0,0
16,male,1.65,64.86,always,no,not drive,not drive,no,no,no,no,0,0
15,female,1.63,65.32,always,no,0 times,0 days,no,no,yes,no,0,0
16,female,1.68,78.02,always,no,0 times,0 days,no,no,no,yes,0,1
15,female,1.68,49.9,sometimes,no,0 times,0 days,no,no,no,yes,0,0
14,female,1.7,57.61,most of the time,no,not drive,not drive,no,no,yes,yes,0,6
16,female,1.65,77.11,most of the time,no,0 times,0 days,no,no,no,no,0,0
16,female,1.55,53.52,rarely,no,0 times,0 days,no,no,no,no,0,0
15,female,1.63,52.16,sometimes,yes,not drive,not drive,no,no,no,no,0,0
15,female,1.6,52.62,rarely,no,0 times,0 days,no,no,yes,no,0,1
14,female,1.55,54.43,always,no,not drive,not drive,no,no,no,no,0,0
16,male,1.75,96.16,always,no,0 times,0 days,no,no,no,no,0,0
15,female,1.65,62.14,always,no,not drive,not drive,no,no,yes,no,0,0
17,female,1.65,57.15,most of the time,no,not drive,not drive,no,no,no,no,0,0
14,female,1.6,51.71,always,no,0 times,0 days,yes,no,no,yes,0,0
15,male,1.88,74.84,always,no,not drive,not drive,no,no,no,no,0,0
14,male,1.75,74.84,always,yes,0 times,0 days,no,no,no,no,0,0
15,male,1.63,50.8,always,no,0 times,0 days,yes,no,no,no,0,0
15,male,1.65,57.61,always,no,not drive,not drive,no,no,yes,no,0,0
14,male,1.75,58.97,most of the time,no,not drive,not drive,yes,no,no,no,0,0
15,male,1.75,65.77,always,no,0 times,0 days,no,no,no,no,0,0
16,male,1.68,65.77,always,no,0 times,0 days,yes,no,no,no,0,0
16,female,1.73,61.24,sometimes,no,not drive,not drive,no,no,yes,yes,8,3
15,female,1.63,57.61,most of the time,no,not drive,not drive,no,no,no,yes,0,0
16,female,1.63,58.97,always,no,0 times,20 to 29 days,no,no,no,no,0,0
16,female,1.63,47.63,always,yes,not drive,not drive,no,no,no,no,0,0
16,female,1.52,45.36,most of the time,no,0 times,0 days,no,no,no,yes,0,0
16,female,1.57,46.72,always,no,0 times,0 days,no,no,no,yes,0,0
17,female,1.65,41.73,always,no,not drive,not drive,no,no,yes,yes,0,0
15,female,1.57,56.7,sometimes,no,0 times,1 or 2 days,no,no,yes,no,0,1
16,female,1.68,65.77,rarely,yes,1 time,20 to 29 days,yes,no,yes,no,1,3
16,female,1.68,74.84,always,no,0 times,0 days,no,no,no,yes,0,0
16,female,1.55,45.36,most of the time,yes,0 times,0 days,no,no,no,yes,0,2
16,female,1.52,74.84,always,yes,not drive,not drive,yes,no,no,no,0,1
16,male,1.75,81.65,sometimes,yes,0 times,3 to 5 days,yes,no,yes,no,2,9
16,male,1.75,65.77,always,no,0 times,all 30 days,no,no,no,no,0,3
16,male,1.73,95.26,most of the time,no,0 times,0 days,no,no,no,no,2,4
15,male,1.8,72.58,most of the time,no,0 times,1 or 2 days,no,no,no,no,0,0
16,male,1.73,65.77,sometimes,no,0 times,3 to 5 days,no,no,no,no,0,1
15,male,1.88,106.6,most of the time,yes,0 times,0 days,yes,yes,no,no,1,3
15,male,1.78,97.52,rarely,yes,1 time,3 to 5 days,yes,no,no,no,3,7
16,male,1.73,64.41,always,no,0 times,10 to 19 days,no,no,no,yes,0,1
16,male,1.68,56.7,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.7,71.22,most of the time,yes,1 time,1 or 2 days,yes,no,no,yes,30,2
