MAP  2.7   2010/12/31 16:45:48    52.681   -166.585  12.3   FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA     
MAP  5.2   2010/12/31 16:30:55    0.665    -26.039  10.0   CENTRAL MID-ATLANTIC RIDGE                 
MAP  3.6   2010/12/31 15:49:22    31.224   -115.647  2.0   BAJA CALIFORNIA, MEXICO                    
MAP  2.8   2010/12/31 14:39:26    51.280   -175.179  26.4   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  2.7   2010/12/31 14:35:39    56.549   -159.811  179.6   ALASKA PENINSULA                         
MAP  3.0   2010/12/31 14:14:43    52.621   -169.071  9.5   FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA      
MAP  3.0   2010/12/31 13:46:53    51.012   -176.052  56.2   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  3.3   2010/12/31 13:00:00    51.266   -175.129  19.7   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  2.6   2010/12/31 09:59:38    31.852   -114.937  15.0   BAJA CALIFORNIA, MEXICO                   
MAP  3.2   2010/12/31 09:04:31    51.148   -176.052  25.5   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  2.6   2010/12/31 07:26:56    38.887   -115.487  0.0   NEVADA                                     
MAP  2.7   2010/12/31 07:12:25    51.254   -176.092  50.6   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  3.2   2010/12/31 05:57:46    53.375   -163.557  23.2   UNIMAK ISLAND REGION, ALASKA              
MAP  5.2   2010/12/31 04:11:04   -19.080    168.037  10.0   VANUATU                                   
MAP  2.6   2010/12/31 03:57:21    51.261   -176.200  65.4   ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA   
MAP  3.2   2010/12/31 03:55:49    19.055    -67.234  9.1   PUERTO RICO REGION                         
MAP  4.7   2010/12/31 03:28:51   -19.523    168.136  10.0   VANUATU                                   
MAP  3.4   2010/12/31 02:11:11    51.644    176.430  36.0   RAT ISLANDS, ALEUTIAN ISLANDS, ALASKA     
MAP  4.7   2010/12/31 01:59:28    52.931   -166.733  21.4   FOX ISLANDS, ALEUTIAN ISLANDS, ALASKA     
MAP  5.2   2010/12/30 23:47:00   -31.994   -178.047  10.6   KERMADEC ISLANDS REGION                   
MAP  3.5   2010/12/30 23:03:47    61.913   -151.296  71.4   SOUTHERN ALASKA                           
MAP  2.8   2010/12/30 21:34:51    20.468   -156.462  15.7   MAUI REGION, HAWAII                       
MAP  5.1   2010/12/30 21:22:31   -19.974    168.379  22.4   VANUATU                                   
MAP  5.2   2010/12/30 20:46:00    -8.211    -97.607  16.8   SOUTHWEST OF THE GALAPAGOS ISLANDS        
MAP  5.1   2010/12/30 19:56:37    50.267    154.104  193.3   KURIL ISLANDS                            
MAP  4.6   2010/12/30 19:21:26    56.748   -156.148  54.0   ALASKA PENINSULA                          
